Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
213,1.065430e+02,10.150044,1.919870e-04,8.388000
214,1.070360e+02,10.150046,1.919870e-04,8.376000
215,1.075440e+02,10.148261,1.945500e-04,8.598000
216,1.080440e+02,10.143538,1.950870e-04,8.634000
217,1.085430e+02,10.143819,1.934180e-04,8.508000
218,1.090400e+02,10.142291,1.923450e-04,8.430000
219,1.095420e+02,10.139191,1.919870e-04,8.400000
220,1.100430e+02,10.136162,1.918090e-04,8.382000
221,1.105400e+02,10.133302,1.918680e-04,8.382000
222,1.110400e+02,10.133083,1.919280e-04,8.376000
223,1.115390e+02,10.129256,1.919280e-04,8.376000
224,1.120370e+02,10.130821,1.919280e-04,8.376000
225,1.125370e+02,10.132301,1.919280e-04,8.376000
226,1.130370e+02,10.134368,1.919870e-04,8.388000
227,1.135400e+02,10.136950,1.919870e-04,8.376000
228,1.140360e+02,10.136341,1.919870e-04,8.376000
229,1.145370e+02,10.136318,1.919280e-04,8.376000
230,1.150360e+02,10.137731,1.919870e-04,8.376000
231,1.155360e+02,10.140984,1.919870e-04,8.376000
232,1.160470e+02,10.142035,1.919870e-04,8.376000
233,1.165400e+02,10.143651,1.919870e-04,8.376000
234,1.170400e+02,10.142579,1.919870e-04,8.376000
235,1.175400e+02,10.137222,1.919870e-04,8.376000
236,1.180360e+02,10.132431,1.919280e-04,8.376000
237,1.185390e+02,10.128291,1.918680e-04,8.376000
238,1.190430e+02,10.126616,1.918680e-04,8.376000
239,1.195400e+02,10.121016,1.918680e-04,8.376000
240,1.200400e+02,10.117267,1.918680e-04,8.376000
241,1.205410e+02,10.112264,1.918090e-04,8.382000
242,1.210370e+02,10.114679,1.918680e-04,8.382000
243,1.215370e+02,10.116501,1.918680e-04,8.376000
244,1.220400e+02,10.117846,1.918680e-04,8.376000
245,1.225370e+02,10.120678,1.919870e-04,8.388000
246,1.230390e+02,10.122073,1.919870e-04,8.388000
247,1.235370e+02,10.125661,1.919870e-04,8.388000
248,1.240390e+02,10.128209,1.919870e-04,8.388000
249,1.245380e+02,10.121358,1.919280e-04,8.376000
250,1.250380e+02,10.123864,1.918680e-04,8.376000
251,1.255380e+02,10.121387,1.918680e-04,8.376000
252,1.260370e+02,10.118095,1.918680e-04,8.376000
253,1.265420e+02,10.116153,1.918680e-04,8.376000
254,1.270400e+02,10.113548,1.918680e-04,8.382000
255,1.275410e+02,10.112502,1.918680e-04,8.382000
256,1.280370e+02,10.113624,1.918680e-04,8.376000
257,1.285370e+02,10.113536,1.918680e-04,8.376000
258,1.290380e+02,10.117355,1.918680e-04,8.376000
259,1.295370e+02,10.119052,1.918680e-04,8.376000
260,1.300370e+02,10.115273,1.918680e-04,8.376000
261,1.305370e+02,10.113969,1.918680e-04,8.376000
262,1.310400e+02,10.113566,1.918680e-04,8.376000
263,1.315400e+02,10.111877,1.918680e-04,8.376000
264,1.320470e+02,10.107950,1.918680e-04,8.382000
265,1.325400e+02,10.104154,1.918090e-04,8.382000
266,1.330420e+02,10.097985,1.917490e-04,8.382000
267,1.335380e+02,10.098273,1.917490e-04,8.382000
268,1.340400e+02,10.096360,1.918090e-04,8.382000
269,1.345410e+02,10.093266,1.918090e-04,8.382000
270,1.350400e+02,10.092427,1.917490e-04,8.382000
271,1.355430e+02,10.091675,1.917490e-04,8.382000
272,1.360360e+02,10.098177,1.918090e-04,8.382000
273,1.365470e+02,10.100162,1.918680e-04,8.382000
274,1.370380e+02,10.100254,1.918680e-04,8.382000
275,1.375420e+02,10.100989,1.918090e-04,8.382000
276,1.380370e+02,10.101113,1.918090e-04,8.382000
277,1.385380e+02,10.100248,1.918680e-04,8.382000
278,1.390370e+02,10.099087,1.918090e-04,8.382000
279,1.395360e+02,10.097461,1.918680e-04,8.382000
280,1.400360e+02,10.092570,1.918090e-04,8.370000
281,1.405400e+02,10.093691,1.917490e-04,8.382000
282,1.410400e+02,10.093365,1.918090e-04,8.382000
283,1.415430e+02,10.087242,1.917490e-04,8.376000
284,1.420420e+02,10.088095,1.916300e-04,8.376000
285,1.425400e+02,10.087852,1.916890e-04,8.376000
286,1.430390e+02,10.093638,1.917490e-04,8.382000
287,1.435400e+02,10.092280,1.918090e-04,8.382000
288,1.440400e+02,10.087850,1.918090e-04,8.382000
289,1.445400e+02,10.088806,1.917490e-04,8.382000
290,1.450360e+02,10.090915,1.918090e-04,8.382000
291,1.455370e+02,10.090966,1.918090e-04,8.382000
292,1.460420e+02,10.090767,1.918090e-04,8.382000
293,1.465420e+02,10.089266,1.918090e-04,8.382000
294,1.470420e+02,10.089769,1.918090e-04,8.382000
295,1.475420e+02,10.090004,1.917490e-04,8.376000
296,1.480510e+02,10.090113,1.918090e-04,8.382000
297,1.485370e+02,10.093469,1.918090e-04,8.382000
298,1.490370e+02,10.091257,1.918090e-04,8.382000
