Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
312,1.560480e+02,10.059672,1.915110e-04,8.382000
313,1.565380e+02,10.058847,1.915700e-04,8.382000
314,1.570370e+02,10.058728,1.913910e-04,8.382000
315,1.575370e+02,10.058438,1.913910e-04,8.376000
316,1.580370e+02,10.058177,1.915110e-04,8.376000
317,1.585370e+02,10.057085,1.913320e-04,8.382000
318,1.590370e+02,10.058280,1.913320e-04,8.382000
319,1.595400e+02,10.058541,1.913910e-04,8.382000
320,1.600400e+02,10.060852,1.914510e-04,8.376000
321,1.605450e+02,10.062091,1.915110e-04,8.376000
322,1.610380e+02,10.058558,1.914510e-04,8.376000
323,1.615380e+02,10.060352,1.912720e-04,8.382000
324,1.620390e+02,10.063862,1.914510e-04,8.376000
325,1.625420e+02,10.067569,1.915700e-04,8.382000
326,1.630420e+02,10.067604,1.916300e-04,8.376000
327,1.635410e+02,10.061758,1.915700e-04,8.376000
328,1.640350e+02,10.060266,1.912130e-04,8.376000
329,1.645370e+02,10.058225,1.912130e-04,8.382000
330,1.650370e+02,10.059753,1.912720e-04,8.376000
331,1.655360e+02,10.059095,1.913320e-04,8.382000
332,1.660370e+02,10.060915,1.914510e-04,8.376000
333,1.665440e+02,10.060813,1.914510e-04,8.388000
334,1.670370e+02,10.060683,1.914510e-04,8.376000
335,1.675370e+02,10.063242,1.914510e-04,8.376000
336,1.680410e+02,10.067841,1.915700e-04,8.382000
337,1.685430e+02,10.063503,1.915700e-04,8.382000
338,1.690440e+02,10.068789,1.915110e-04,8.376000
339,1.695410e+02,10.069515,1.916300e-04,8.382000
340,1.700370e+02,10.066955,1.916300e-04,8.382000
341,1.705410e+02,10.071114,1.915700e-04,8.382000
342,1.710410e+02,10.078123,1.917490e-04,8.388000
343,1.715430e+02,10.081206,1.918090e-04,8.382000
344,1.720470e+02,10.082317,1.918090e-04,8.382000
345,1.725410e+02,10.083691,1.918090e-04,8.382000
346,1.730430e+02,10.084925,1.918090e-04,8.382000
347,1.735440e+02,10.090212,1.918090e-04,8.382000
348,1.740420e+02,10.093661,1.918090e-04,8.382000
349,1.745360e+02,10.091558,1.918090e-04,8.382000
350,1.750420e+02,10.090008,1.918090e-04,8.370000
351,1.755370e+02,10.087633,1.917490e-04,8.376000
352,1.760390e+02,10.080960,1.916300e-04,8.376000
353,1.765370e+02,10.077465,1.915700e-04,8.382000
354,1.770370e+02,10.074170,1.915700e-04,8.382000
